price_chf,members,minutes_per_member,vat_percent,hourly_chf,variable_ai_allowance_chf,infrastructure_chf,fixed_hours,acquisition_chf,fees_per_member_chf,contribution_per_member_chf,gross_revenue_chf,before_owner_time_chf,after_owner_time_chf,break_even_members,monthly_owner_hours
49,100,30,8.1,45,1,50,8,200,2.064,19.7644,4900,3976.44,1366.44,31,58
50,20,10,0,45,1,50,8,200,2.1,39.4,1000,688,178,16,11.3333
50,20,10,8.1,45,1,50,8,200,2.1,35.6535,1000,613.0694,103.0694,18,11.3333
50,20,30,0,45,1,50,8,200,2.1,24.4,1000,688,-122,25,18
50,20,30,8.1,45,1,50,8,200,2.1,20.6535,1000,613.0694,-196.9306,30,18
50,50,10,0,45,1,50,8,200,2.1,39.4,2500,2095,1360,16,16.3333
50,50,10,8.1,45,1,50,8,200,2.1,35.6535,2500,1907.6735,1172.6735,18,16.3333
50,50,30,0,45,1,50,8,200,2.1,24.4,2500,2095,610,25,33
50,50,30,8.1,45,1,50,8,200,2.1,20.6535,2500,1907.6735,422.6735,30,33
50,100,10,0,45,1,50,8,200,2.1,39.4,5000,4440,3330,16,24.6667
50,100,10,8.1,45,1,50,8,200,2.1,35.6535,5000,4065.3469,2955.3469,18,24.6667
50,100,30,0,45,1,50,8,200,2.1,24.4,5000,4440,1830,25,58
50,100,30,8.1,45,1,50,8,200,2.1,20.6535,5000,4065.3469,1455.3469,30,58
